x,y,tempo
405.832509478097, 250.664544635499, 12:39:27:854
406.261476797687, 250.407417747262, 12:39:27:864
407.744756025116, 251.590699568095, 12:39:27:876
407.192560844353, 251.608961901713, 12:39:27:888
406.963835679825, 252.175642119846, 12:39:27:899
400.885459881174, 251.202177643865, 12:39:27:910
396.420317299306, 251.146480095474, 12:39:27:921
333.672484241307, 246.217838648952, 12:39:27:932
325.928723178629, 244.912605815704, 12:39:27:943
324.13046566777, 244.264842611705, 12:39:27:956
323.56015386004, 243.616775798929, 12:39:27:965
322.230366455558, 243.026383485403, 12:39:27:977
313.453789373691, 240.512544537683, 12:39:27:986
313.39840204249, 235.35891677203, 12:39:27:998
313.933412780642, 232.854823096035, 12:39:28:010
314.950578788803, 230.027203802769, 12:39:28:022
314.380166533425, 231.675060930981, 12:39:28:031
314.957759473642, 230.343469237969, 12:39:28:042
314.929105379152, 228.547781461473, 12:39:28:055
314.806054631439, 228.513131051645, 12:39:28:064
314.010711395143, 227.025589018306, 12:39:28:076
316.700559617656, 226.556422637664, 12:39:28:087
335.443234453307, 230.080213345284, 12:39:28:098
337.89661783995, 230.739564018112, 12:39:28:110
339.517393983158, 231.588348087328, 12:39:28:120
344.267690996447, 231.732177975496, 12:39:28:131
345.342407787958, 231.775652746015, 12:39:28:143
349.592182469237, 232.286205190289, 12:39:28:154
350.838387644901, 232.271315861981, 12:39:28:163
351.224567737073, 232.191276207751, 12:39:28:175
351.858568473194, 231.495520623653, 12:39:28:186
352.249436110488, 231.656177453099, 12:39:28:197
352.219021557158, 229.813415968682, 12:39:28:209
352.638051906366, 229.561202161994, 12:39:28:221
354.99394390251, 231.072239827252, 12:39:28:231
354.41100976826, 230.476623760963, 12:39:28:242
354.501983746984, 230.196509135894, 12:39:28:254
353.909712821128, 229.045916923657, 12:39:28:264
354.324211082138, 227.796236204234, 12:39:28:276
354.667704577263, 228.214797423137, 12:39:28:287
356.061171744027, 228.811436103707, 12:39:28:298
361.441096591833, 228.79178575914, 12:39:28:309
369.565068319864, 228.647899886428, 12:39:28:321
373.893718926508, 228.165450906588, 12:39:28:331
377.907781054375, 227.144003246676, 12:39:28:343
379.182260329132, 226.550044147419, 12:39:28:353
377.3033120854, 227.586537386276, 12:39:28:364
376.632727641998, 228.013584681452, 12:39:28:375
377.967908289593, 228.308842969734, 12:39:28:386
373.35186962306, 227.110575117749, 12:39:28:398
324.499833496754, 213.977612212193, 12:39:28:409
319.762435061971, 212.898135171614, 12:39:28:421
315.942143226818, 211.925264996259, 12:39:28:431
312.672431120499, 211.014296968806, 12:39:28:442
308.698075966616, 208.951837667284, 12:39:28:453
301.119825801256, 205.957241237101, 12:39:28:464
299.079531808612, 205.412585250065, 12:39:28:476
300.350336353107, 203.841126054201, 12:39:28:488
300.401556481046, 201.879133177254, 12:39:28:497
300.321500152798, 202.393149391621, 12:39:28:508
300.064168598826, 200.690164181718, 12:39:28:520
299.248423186214, 198.411168503932, 12:39:28:531
298.404699244114, 197.497897724977, 12:39:28:543
298.444187762409, 197.484939445564, 12:39:28:554
298.546838534604, 196.913247751366, 12:39:28:565
298.966374582673, 197.031070229066, 12:39:28:576
299.402898097801, 195.611146797015, 12:39:28:588
299.2933784568, 194.680104022468, 12:39:28:598
300.239886226343, 191.370132922769, 12:39:28:610
300.60804010514, 190.338863008367, 12:39:28:621
301.446843656306, 187.380991750384, 12:39:28:631
308.43821008791, 191.359238618783, 12:39:28:642
315.571449544744, 194.921614312811, 12:39:28:654
340.750611775489, 209.821119850137, 12:39:28:664
345.213402202028, 212.284403380068, 12:39:28:677
353.124067969971, 216.791475409041, 12:39:28:687
354.077516729275, 217.346067321324, 12:39:28:698
355.130649581028, 218.509941440935, 12:39:28:710
355.334353115045, 221.628647782295, 12:39:28:720
356.097539081286, 226.376126782107, 12:39:28:730
356.703123363715, 223.960604991753, 12:39:28:742
357.037053558889, 226.232066991065, 12:39:28:756
357.227409062892, 226.698314773654, 12:39:28:764
357.26457329106, 227.132618302904, 12:39:28:775
357.433807117133, 228.64055048062, 12:39:28:789
357.694880378183, 229.594732407242, 12:39:28:796
358.425850364436, 230.541278526209, 12:39:28:808
358.912363130485, 229.670978430431, 12:39:28:820
358.970482902476, 229.558214809079, 12:39:28:830
359.8839879813, 228.416907761264, 12:39:28:842
360.374703033667, 227.622260628917, 12:39:28:853
361.178186381086, 226.939598763147, 12:39:28:864
365.132418501319, 226.938972888006, 12:39:28:877
378.839021646927, 226.818376183502, 12:39:28:886
386.813318062428, 228.371415496833, 12:39:28:896
397.385330652425, 229.142400884764, 12:39:28:909
397.83896568178, 231.347601435829, 12:39:28:920
397.887271924691, 231.465873386862, 12:39:28:930
398.413802798313, 231.765239968156, 12:39:28:942
400.206191343471, 231.405530160193, 12:39:28:952
401.317260686975, 232.6573669709, 12:39:28:963
401.74447965419, 232.602418527785, 12:39:28:975
403.762912688247, 236.846959873473, 12:39:28:985
404.918384902297, 237.917521333735, 12:39:28:997
405.69263886749, 240.368393148291, 12:39:29:008
405.789133348357, 239.80212275838, 12:39:29:019
406.192333417083, 240.943203822274, 12:39:29:031
407.173092861368, 242.047011076947, 12:39:29:042
410.997010794597, 243.472444256875, 12:39:29:053
414.000728703175, 243.7780620898, 12:39:29:063
414.258966503482, 244.314251504863, 12:39:29:076
414.946902470229, 244.257078499229, 12:39:29:086
415.099790807455, 244.747912694376, 12:39:29:097
414.60524737751, 245.187885543646, 12:39:29:110
412.63444245808, 248.938704241612, 12:39:29:120
412.183508609224, 249.710589326973, 12:39:29:131
413.265296161638, 250.051672303136, 12:39:29:142
415.156730315819, 250.096814696603, 12:39:29:153
416.209391968694, 250.456039135334, 12:39:29:163
414.71477139778, 249.656087283578, 12:39:29:176
414.803771181813, 249.674709322461, 12:39:29:186
415.533633199306, 249.779791515171, 12:39:29:198
415.53769315679, 249.876998075934, 12:39:29:209
412.341581428282, 248.466809994177, 12:39:29:220
412.241052591712, 247.507431932426, 12:39:29:231
413.201942289423, 247.885578874995, 12:39:29:242
413.782543527144, 246.936596568016, 12:39:29:254
419.099857225604, 244.516413799378, 12:39:29:264
465.139532522538, 215.145454699974, 12:39:29:276
469.759043100914, 212.085204582746, 12:39:29:286
472.394240866816, 209.199501845576, 12:39:29:297
474.265176755376, 207.570590767213, 12:39:29:309
477.350438958282, 204.763516004734, 12:39:29:321
479.260716898982, 202.379541559212, 12:39:29:330
478.340321744482, 198.783923132822, 12:39:29:343
476.092538069089, 196.227173513964, 12:39:29:354
476.299910984211, 196.922427082519, 12:39:29:364
476.301839205897, 197.120547553779, 12:39:29:375
477.651515478441, 199.417990049761, 12:39:29:386
477.848680657296, 199.485230344354, 12:39:29:396
478.450932542598, 200.451390508101, 12:39:29:408
476.971867172121, 195.122268104151, 12:39:29:420
476.664318198565, 193.656437684246, 12:39:29:431
476.299819293303, 194.086152547971, 12:39:29:443
475.26207699655, 193.87520647016, 12:39:29:454
473.5571594791, 194.980238071938, 12:39:29:465
471.387292530169, 195.504090332323, 12:39:29:476
466.732842373442, 196.7574696871, 12:39:29:486
457.484468524174, 199.277951989325, 12:39:29:496
453.326294513025, 202.858877603018, 12:39:29:509
441.066797807579, 214.108177164029, 12:39:29:518
432.58372260588, 229.192300008157, 12:39:29:530
375.75444921638, 450.214612305804, 12:39:29:711
371.390317345184, 425.731074391977, 12:39:29:722
393.53861031439, 366.593302064266, 12:39:29:732
425.639106794123, 295.561741257936, 12:39:29:744
431.047409605456, 282.647152401636, 12:39:29:755
424.070930330796, 296.899600981267, 12:39:29:765
424.391298103404, 284.104792664126, 12:39:29:778
423.759328307685, 278.134611408263, 12:39:29:788
424.030597432741, 269.778876452249, 12:39:29:798
423.235043443856, 267.632254735552, 12:39:29:810
433.154717291881, 235.48902287559, 12:39:29:820
432.507924742427, 228.637422350702, 12:39:29:831
431.512121988661, 228.346101232543, 12:39:29:844
430.907050534344, 226.240364008552, 12:39:29:856
431.121765438378, 225.405966803773, 12:39:29:866
431.01766701698, 224.467419384343, 12:39:29:877
431.285210501014, 226.776063617428, 12:39:29:889
430.819443493186, 227.492272257775, 12:39:29:901
428.266216730552, 231.751327536268, 12:39:29:911
406.580468830767, 254.116261757415, 12:39:29:922
402.955121590797, 256.952721142515, 12:39:29:932
403.172697734613, 257.110878004693, 12:39:29:945
394.632924619894, 264.078381914923, 12:39:29:955
391.461827968158, 267.397915608776, 12:39:29:965
390.623363448502, 268.321513409368, 12:39:29:978
386.452350678901, 271.84472447234, 12:39:29:988
382.128133984288, 275.88378969329, 12:39:29:999
381.216326194484, 277.200017453166, 12:39:30:011
381.998930961956, 276.680161877492, 12:39:30:021
381.650580492557, 276.811028725707, 12:39:30:032
381.52539348148, 275.038923970988, 12:39:30:043
381.410773296132, 274.727115156923, 12:39:30:055
380.795268626077, 273.348783757651, 12:39:30:066
