x,y,tempo
426.768889057383, 1212.93143031549, 12:41:12:374
426.768889057383, 1212.93143031549, 12:41:12:384
426.768889057383, 1212.93143031549, 12:41:12:394
417.911789224066, 1179.46204698281, 12:41:12:407
375.619626221462, 1019.64758828405, 12:41:12:418
382.521812890828, 901.233713146421, 12:41:12:429
434.343669122341, 399.183748292456, 12:41:12:441
454.723030576727, 346.3007106772, 12:41:12:452
458.090100218886, 323.218720754756, 12:41:12:463
476.637376228111, 301.816153245518, 12:41:12:475
482.084365338776, 290.166383205077, 12:41:12:484
491.636370025683, 278.651207042728, 12:41:12:495
528.815507117141, 260.870320545732, 12:41:12:506
532.936004078323, 252.799628874332, 12:41:12:517
548.421311358686, 252.708998425751, 12:41:12:529
550.159805699619, 253.614273755298, 12:41:12:540
551.859678508123, 246.171261030897, 12:41:12:552
552.191932863991, 244.906963999052, 12:41:12:562
549.035119575992, 240.70783431946, 12:41:12:574
537.498410709267, 241.581782848316, 12:41:12:585
534.55792117485, 240.189630482255, 12:41:12:595
472.1058847568, 235.059821662861, 12:41:12:608
434.049035361643, 230.430590720777, 12:41:12:619
402.492866999274, 222.893215675916, 12:41:12:630
377.35595963416, 216.511770953836, 12:41:12:640
339.338525663834, 202.454449396307, 12:41:12:652
324.81631926731, 197.268864321568, 12:41:12:663
288.137945234442, 178.647737087223, 12:41:12:674
287.42327545854, 173.890507831794, 12:41:12:686
294.384659193963, 178.197081374096, 12:41:12:696
294.712244788899, 174.282521490788, 12:41:12:706
293.817115490084, 171.044799070273, 12:41:12:717
292.259127747512, 167.340311505304, 12:41:12:727
290.99522077116, 165.632707545928, 12:41:12:741
291.119732834562, 166.458951298001, 12:41:12:752
291.378729291875, 166.528277299482, 12:41:12:763
293.021442628038, 171.896500234735, 12:41:12:773
297.302210245747, 185.281903410966, 12:41:12:785
298.312316141069, 183.476089951753, 12:41:12:796
316.898623304989, 181.957116130012, 12:41:12:807
419.524635023043, 169.653064577388, 12:41:12:818
431.228051395932, 169.382366022, 12:41:12:829
439.816719901033, 169.023343026995, 12:41:12:840
459.300677714516, 167.925598805003, 12:41:12:851
464.278617219197, 168.736106786655, 12:41:12:863
476.340152295697, 167.654744263155, 12:41:12:873
481.554481126049, 166.868263886605, 12:41:12:884
486.885647184378, 169.942037414795, 12:41:12:894
488.962880918684, 173.543239097963, 12:41:12:906
489.079435472262, 174.156141494319, 12:41:12:917
489.204517372592, 174.710540369068, 12:41:12:927
489.945224128385, 176.581597649012, 12:41:12:939
490.359625830607, 177.673952142348, 12:41:12:950
490.911741302386, 178.721631820483, 12:41:12:961
492.889293777359, 181.42700806621, 12:41:12:973
493.814676500754, 181.615607506021, 12:41:12:984
497.867718038384, 185.569271520094, 12:41:12:995
499.675423000111, 187.234881413178, 12:41:13:007
501.073817192823, 186.029991067671, 12:41:13:016
501.039101301755, 185.576291501421, 12:41:13:027
500.845722528005, 186.017811508437, 12:41:13:039
507.150840148545, 184.300490490174, 12:41:13:050
535.065497979311, 178.46677521641, 12:41:13:061
540.454835022918, 177.427357534127, 12:41:13:073
541.600805170462, 177.47644933197, 12:41:13:085
542.727697808669, 177.458093597598, 12:41:13:096
543.422878964602, 178.376608657605, 12:41:13:107
545.207577380918, 178.907054460126, 12:41:13:118
545.934406409526, 181.664218010814, 12:41:13:129
545.961738183717, 183.855091819269, 12:41:13:140
546.018904115196, 183.969625231853, 12:41:13:150
545.788023164365, 185.022054340816, 12:41:13:161
546.084094911913, 185.549790533745, 12:41:13:173
546.628010983145, 187.114508392208, 12:41:13:185
548.411478085559, 190.175913532587, 12:41:13:195
554.689449443536, 190.817564950547, 12:41:13:207
566.016225158207, 192.312953489968, 12:41:13:218
584.273034240822, 192.44142897315, 12:41:13:228
850.284807889634, 192.217792059874, 12:41:13:240
1049.57156289619, 189.328393299036, 12:41:13:251
1079.50021018427, 188.385266381525, 12:41:13:261
1100.39700038488, 187.326370555451, 12:41:13:273
1116.86676137941, 186.796563149711, 12:41:13:285
1155.38659727914, 185.992377399594, 12:41:13:296
1173.05145567788, 185.538783558526, 12:41:13:307
1184.25942695883, 185.353053384593, 12:41:13:318
1194.28842450577, 183.205628266596, 12:41:13:329
1193.81752340363, 184.1155649482, 12:41:13:341
1192.89232147491, 183.545333652831, 12:41:13:351
1192.72945297363, 184.737345130015, 12:41:13:361
1192.33765071575, 184.438423911201, 12:41:13:371
1192.42625481296, 184.77866840475, 12:41:13:384
1192.6687997127, 186.209208538755, 12:41:13:396
1192.78892677591, 187.354462701615, 12:41:13:407
1192.60369150444, 186.823499144555, 12:41:13:418
1192.51968811128, 186.642976435227, 12:41:13:428
1159.99189372849, 190.935852918145, 12:41:13:440
850.676926495955, 224.888514642972, 12:41:13:452
571.984831159843, 251.747755360401, 12:41:13:462
484.578075716861, 258.548952823836, 12:41:13:473
446.943924912436, 261.678410224578, 12:41:13:485
415.283750676919, 264.668123099899, 12:41:13:495
401.619084782049, 265.815774169197, 12:41:13:507
381.026823930405, 266.319023925563, 12:41:13:518
356.386132289791, 266.510134543187, 12:41:13:530
351.750777466096, 266.183345831406, 12:41:13:540
352.601515726566, 265.278840411671, 12:41:13:551
356.54018910039, 262.946052994443, 12:41:13:562
356.986249732337, 257.86228469896, 12:41:13:580
357.58335269092, 258.227277234493, 12:41:13:583
357.678215416068, 258.479948448694, 12:41:13:594
357.932240661735, 259.120661037366, 12:41:13:607
357.241859711468, 260.814348560797, 12:41:13:618
356.637989679414, 260.378160368441, 12:41:13:628
356.160145937221, 259.744429909087, 12:41:13:640
356.012825558495, 259.430483229694, 12:41:13:651
356.179414662146, 259.19730440191, 12:41:13:662
356.230967203818, 259.642891163804, 12:41:13:673
355.438215525667, 258.284535654323, 12:41:13:685
349.594462012453, 252.161936811188, 12:41:13:696
322.132699365366, 224.581274834346, 12:41:13:706
307.511983319519, 200.921905000922, 12:41:13:718
307.55734083926, 200.769090658745, 12:41:13:729
307.182702740622, 199.640732811781, 12:41:13:740
307.107762189097, 199.163314571027, 12:41:13:751
307.020304221606, 198.222369818206, 12:41:13:761
298.857258865097, 183.63873630031, 12:41:13:773
300.462532412156, 181.298161258127, 12:41:13:783
301.006903575329, 179.579714383963, 12:41:13:794
301.557527197003, 180.573486440886, 12:41:13:805
301.257497204123, 180.348775662551, 12:41:13:817
310.260985270902, 177.706694058579, 12:41:13:828
308.355415907618, 177.997958395847, 12:41:13:841
323.02335959106, 177.037468159888, 12:41:13:852
455.558040751432, 169.683089072849, 12:41:13:861
901.366161024585, 159.291920852961, 12:41:13:873
970.69969352217, 158.216896885539, 12:41:13:885
