x,y,tempo
345.959077863959, 674.022075185272, 12:40:22:989
345.959077863959, 674.022075185272, 12:40:23:000
345.959077863959, 674.022075185272, 12:40:23:013
356.200937995825, 653.206739346552, 12:40:23:025
575.35995094522, 425.447845893823, 12:40:23:036
608.525628159064, 343.830984343298, 12:40:23:047
603.474470360173, 322.744236938768, 12:40:23:058
600.204991164068, 294.227703721982, 12:40:23:069
627.406047014185, 244.667138436077, 12:40:23:078
634.845938080101, 223.868936068047, 12:40:23:092
640.557442760591, 210.801026429607, 12:40:23:102
645.018830117524, 190.433582809809, 12:40:23:113
645.372346129629, 188.867541087737, 12:40:23:125
645.330617405003, 169.080043325224, 12:40:23:136
642.49163548334, 146.958520349323, 12:40:23:147
639.217398818068, 137.525138887897, 12:40:23:157
638.250907749084, 132.797759478755, 12:40:23:170
630.618348060424, 127.175497616439, 12:40:23:180
629.251088147425, 126.502167154358, 12:40:23:191
617.68081083874, 127.645158545435, 12:40:23:202
587.955000285435, 125.660905048978, 12:40:23:212
512.304671050509, 130.887166335853, 12:40:23:224
485.74952654221, 133.540945480208, 12:40:23:236
446.371365127333, 140.235945852184, 12:40:23:246
428.386647367115, 143.366681834807, 12:40:23:257
387.844818877493, 155.119147670681, 12:40:23:269
376.744984332008, 158.785165947837, 12:40:23:280
298.407932838725, 181.895632249811, 12:40:23:290
297.650487437893, 184.21822294677, 12:40:23:303
295.706852553167, 182.181853575117, 12:40:23:313
300.19741685369, 198.311092837755, 12:40:23:325
302.965502296512, 203.972173281253, 12:40:23:336
302.980917014732, 202.729134986999, 12:40:23:346
302.591204563174, 203.158084380066, 12:40:23:356
301.689680217486, 201.544627169889, 12:40:23:368
304.83751566852, 201.382531705526, 12:40:23:380
305.968737438317, 198.988223044099, 12:40:23:390
307.639490321603, 199.31260103508, 12:40:23:401
309.052381861317, 201.540212286227, 12:40:23:412
313.102077244761, 204.143505309613, 12:40:23:423
328.702299448561, 213.75373937436, 12:40:23:435
330.695096503669, 213.925401918771, 12:40:23:447
330.355784416824, 214.48817517979, 12:40:23:457
331.660612597764, 216.45562327118, 12:40:23:469
332.483999549571, 217.323478533216, 12:40:23:480
338.246695446462, 222.584510373354, 12:40:23:491
340.491159338208, 222.983939311385, 12:40:23:502
340.280583969175, 220.936154521189, 12:40:23:513
340.405198338723, 221.117607234765, 12:40:23:525
340.677264556899, 222.247470267559, 12:40:23:536
340.975744451186, 223.892126183843, 12:40:23:547
340.829403217834, 224.933161827451, 12:40:23:558
340.133474884854, 223.83437855343, 12:40:23:570
339.787263773711, 223.500467530841, 12:40:23:580
339.227624202313, 222.279014764457, 12:40:23:591
339.02598694595, 222.618261534659, 12:40:23:602
339.127566798168, 224.038766466536, 12:40:23:613
340.292450154237, 226.583761724639, 12:40:23:624
339.57382464692, 226.133570714715, 12:40:23:635
339.469719955455, 225.84040086049, 12:40:23:646
341.265647142169, 219.887685816464, 12:40:23:656
341.768442862419, 220.552647562244, 12:40:23:669
342.173835573362, 220.244946080209, 12:40:23:680
341.97763198095, 221.765671675786, 12:40:23:690
341.752717495392, 222.142804564665, 12:40:23:702
340.561673521475, 222.15291995083, 12:40:23:713
339.873830802133, 221.956739358682, 12:40:23:725
339.829171999629, 221.995557652367, 12:40:23:735
334.262012945752, 221.630101690372, 12:40:23:747
309.962327401707, 212.179576033102, 12:40:23:757
307.164309666854, 211.239551720782, 12:40:23:770
307.253946240428, 211.926721716851, 12:40:23:779
306.03309395177, 211.672020260225, 12:40:23:790
304.899665869049, 211.332931891782, 12:40:23:803
303.214663626341, 210.467364396202, 12:40:23:813
303.227872946926, 210.593424297585, 12:40:23:824
304.282268080501, 211.177218511584, 12:40:23:835
304.811479686748, 211.614758776118, 12:40:23:845
304.521618305571, 211.030827929923, 12:40:23:856
303.761368628353, 210.190400431577, 12:40:23:867
299.964473717958, 203.31786109711, 12:40:23:879
298.26551352062, 199.83075851508, 12:40:23:891
299.638156015814, 195.431580561734, 12:40:23:903
300.769953944661, 192.208144801205, 12:40:23:913
304.499154988002, 183.841469756986, 12:40:23:924
305.066389472202, 183.227617492478, 12:40:23:935
305.521852221003, 182.323274127968, 12:40:23:947
305.946964169667, 180.578445907061, 12:40:23:957
307.373686979594, 177.699978680844, 12:40:23:969
308.848064418436, 175.333719886586, 12:40:23:980
308.863174812631, 175.00792420986, 12:40:23:990
309.860780401428, 167.075004820207, 12:40:24:002
309.677799941382, 167.774562578549, 12:40:24:013
309.615074969862, 167.484600722568, 12:40:24:025
309.403149493894, 164.708485209708, 12:40:24:036
308.799445525854, 163.401414950674, 12:40:24:047
308.122690208341, 162.725600801368, 12:40:24:056
308.50847325518, 163.19744374704, 12:40:24:067
310.208510643669, 165.216111440054, 12:40:24:079
311.537728386336, 164.556417048641, 12:40:24:090
310.994057865092, 165.59763393173, 12:40:24:101
310.60157620092, 164.742541585647, 12:40:24:111
323.552577739609, 163.850509269949, 12:40:24:125
421.946438458087, 158.830636896151, 12:40:24:134
621.156954544422, 149.150915009195, 12:40:24:145
1031.83122898586, 148.666331292597, 12:40:24:157
1038.66339034438, 148.729302521435, 12:40:24:169
1055.04841232849, 148.856446818753, 12:40:24:178
1066.63823168996, 148.727050405716, 12:40:24:191
1094.72831673149, 149.235312467806, 12:40:24:201
1138.45685546837, 150.34493941667, 12:40:24:211
1165.09330953928, 153.359203256621, 12:40:24:223
1171.82137323884, 156.040733071457, 12:40:24:234
1171.6651203972, 159.855219369851, 12:40:24:244
1171.20010460879, 160.719447806671, 12:40:24:256
1171.08245016682, 161.880421912447, 12:40:24:267
1169.87818810127, 165.147272556888, 12:40:24:277
1169.43579642784, 168.734155032979, 12:40:24:289
1169.33199849782, 170.167096069934, 12:40:24:300
1169.56194776384, 169.804241371159, 12:40:24:310
1169.50884537045, 170.155318524667, 12:40:24:323
1169.28197871409, 172.373287455198, 12:40:24:334
1169.18496302245, 174.173345582863, 12:40:24:345
1169.12136472917, 173.955923352858, 12:40:24:356
1170.96477325066, 174.206307430351, 12:40:24:368
1170.91695882641, 174.837817448135, 12:40:24:377
1173.15511518081, 174.312870091885, 12:40:24:389
1177.66694021872, 171.16930518173, 12:40:24:400
1179.16772591363, 169.974678260258, 12:40:24:410
1178.30737342609, 170.353176417397, 12:40:24:422
1178.51002551508, 168.457711249503, 12:40:24:433
1174.51848103941, 168.341333035132, 12:40:24:444
1164.54810909581, 168.675106960189, 12:40:24:456
994.054990869984, 180.423700982775, 12:40:24:467
773.263366611048, 196.78313313475, 12:40:24:478
546.72419664955, 218.492269818606, 12:40:24:489
520.35813207908, 221.714862137605, 12:40:24:500
502.120394813754, 223.771095675646, 12:40:24:512
469.816757397147, 226.575233008037, 12:40:24:523
440.082654980898, 229.151029461884, 12:40:24:535
406.711857841647, 232.006522588018, 12:40:24:546
393.028486766153, 232.115043871603, 12:40:24:557
385.728687953181, 231.624618633727, 12:40:24:569
386.765874082635, 223.929626929562, 12:40:24:579
386.676870954002, 222.201728661518, 12:40:24:590
386.837448451113, 225.760515427526, 12:40:24:602
386.438439452815, 221.180091012219, 12:40:24:613
385.56150550402, 219.303290315155, 12:40:24:624
384.680723909584, 218.072913130809, 12:40:24:636
384.274957701986, 216.490206191343, 12:40:24:646
385.460990199, 214.197895863915, 12:40:24:657
383.978158457027, 216.762819285137, 12:40:24:669
384.146447428929, 216.429338597859, 12:40:24:678
390.57511641886, 215.522521921173, 12:40:24:691
479.94784077541, 203.073525730322, 12:40:24:701
710.731707442006, 175.98635801427, 12:40:24:712
956.040638289907, 154.142124359928, 12:40:24:722
991.078212162883, 151.788021822907, 12:40:24:735
1017.09712760534, 149.877644176646, 12:40:24:745
1042.46366754852, 148.78397373973, 12:40:24:757
1057.28313050705, 148.952862891933, 12:40:24:769
1074.9530735309, 148.479066496633, 12:40:24:779
1078.91656010001, 147.737355492947, 12:40:24:790
1079.11442237332, 153.648422742018, 12:40:24:802
1080.10122573612, 155.409146618663, 12:40:24:813
