x,y,tempo
-230.446861216215, 1200.87770632745, 12:43:04:807
-230.446861216215, 1200.87770632745, 12:43:04:818
-230.446861216215, 1200.87770632745, 12:43:04:828
-198.565214709149, 1178.14012416589, 12:43:04:841
-46.3329298713932, 1069.57000739436, 12:43:04:851
24.97266724526, 939.751081040267, 12:43:04:863
214.862385990088, 391.780945119697, 12:43:04:874
195.099106297523, 438.493514659697, 12:43:04:885
192.064465647045, 399.579102671221, 12:43:04:897
192.566747764845, 369.791108232085, 12:43:04:908
203.283319306157, 342.570382330751, 12:43:04:918
215.854282519916, 325.530291932465, 12:43:04:929
216.56970623999, 320.531636862634, 12:43:04:941
218.893284393678, 310.933162070581, 12:43:04:950
221.889801449363, 334.031051931541, 12:43:04:964
226.046462362313, 337.059539691579, 12:43:04:975
226.782685975604, 338.939470117132, 12:43:04:986
229.412469889552, 348.200915949749, 12:43:04:997
231.467549584365, 353.664727185488, 12:43:05:008
231.354526562589, 353.60675078258, 12:43:05:019
233.856445861768, 350.813971101122, 12:43:05:029
238.01598370774, 350.00409174511, 12:43:05:042
250.506437233653, 339.515132066663, 12:43:05:051
250.696456949394, 340.356114557812, 12:43:05:062
269.700996838188, 323.598867405282, 12:43:05:075
319.098245740738, 280.163456455924, 12:43:05:086
338.083230809545, 259.482916068399, 12:43:05:096
342.011876756062, 248.99152347879, 12:43:05:108
343.550273452451, 244.900131065865, 12:43:05:121
340.26847695986, 235.49320685372, 12:43:05:130
344.350793612983, 225.022694109838, 12:43:05:141
349.501962371473, 205.385889510271, 12:43:05:152
349.024000666438, 192.192685276894, 12:43:05:163
350.977280641016, 184.168519878791, 12:43:05:174
352.323249968326, 182.492516973177, 12:43:05:186
355.011856031815, 181.629402521336, 12:43:05:197
352.994732082103, 179.26031306138, 12:43:05:208
358.455882462819, 174.742566628576, 12:43:05:220
358.184558825344, 170.091405191502, 12:43:05:230
359.913722063667, 166.928321565731, 12:43:05:242
360.593369802944, 176.641217342229, 12:43:05:253
360.934821302135, 184.932365475699, 12:43:05:263
361.545811218058, 187.652459473865, 12:43:05:274
362.228545621503, 196.024576117485, 12:43:05:286
362.567212481062, 197.401153198532, 12:43:05:297
365.162477925549, 208.64286149106, 12:43:05:308
365.4923018572, 215.819444561783, 12:43:05:320
356.6189506422, 217.588214565998, 12:43:05:329
341.543099259514, 228.068958893752, 12:43:05:342
344.109590609086, 228.054717516549, 12:43:05:353
347.604532199787, 226.872311608423, 12:43:05:362
340.999257268865, 228.903122253298, 12:43:05:374
330.99131333783, 228.894815498941, 12:43:05:385
327.288139321376, 227.61919257747, 12:43:05:395
318.546485196453, 225.174440866015, 12:43:05:408
318.248746285964, 224.264093731706, 12:43:05:420
317.174182424092, 219.911863482489, 12:43:05:430
316.513996643099, 219.353732698823, 12:43:05:443
316.480202686221, 218.274928844758, 12:43:05:453
315.441051710736, 215.190652370892, 12:43:05:463
314.381622110368, 212.117242132846, 12:43:05:475
313.455217668698, 208.945658622637, 12:43:05:486
313.126390542589, 207.287722345098, 12:43:05:496
313.168881524124, 206.000219304394, 12:43:05:507
313.217091733876, 204.889537051247, 12:43:05:520
312.03575181526, 202.393905318552, 12:43:05:530
311.658182235556, 201.615939017831, 12:43:05:541
310.970573832501, 201.39092298811, 12:43:05:554
307.801098698545, 200.42856187434, 12:43:05:563
305.997755377035, 200.23568095435, 12:43:05:573
297.409727049731, 200.795243700176, 12:43:05:585
295.845458701429, 200.708997062944, 12:43:05:595
293.628935322428, 201.092906062307, 12:43:05:607
288.443372283435, 199.455869051804, 12:43:05:620
287.64808878066, 199.664083989697, 12:43:05:630
288.492039992626, 200.618034577786, 12:43:05:641
288.282948744308, 199.771532307367, 12:43:05:652
288.049034879415, 199.443994205195, 12:43:05:663
288.199246254103, 199.131842830489, 12:43:05:675
287.669868058275, 197.513677611008, 12:43:05:686
288.012058426341, 196.102078457484, 12:43:05:696
288.14931457384, 195.242405623552, 12:43:05:708
286.951339911655, 194.051331213225, 12:43:05:720
286.977685061135, 193.717016316388, 12:43:05:730
287.085171876711, 191.778319164488, 12:43:05:741
287.236726509178, 190.276368684891, 12:43:05:753
289.989107120797, 188.439806046554, 12:43:05:762
305.746038756502, 197.908072091231, 12:43:05:775
310.134254977368, 201.127639828393, 12:43:05:786
312.576647851175, 204.379691387052, 12:43:05:795
315.111693144682, 207.239546129302, 12:43:05:807
317.553985493051, 210.893760614226, 12:43:05:819
318.853460947211, 212.37303816316, 12:43:05:829
322.241759207915, 215.663135423226, 12:43:05:841
325.596919779986, 219.957701798095, 12:43:05:851
327.929474484023, 225.885366068397, 12:43:05:863
330.152370556553, 226.743896635921, 12:43:05:875
331.621821431864, 227.201106574942, 12:43:05:886
332.165838201847, 227.070036730555, 12:43:05:896
332.107762595631, 227.760666692726, 12:43:05:908
331.635070717015, 228.443078264182, 12:43:05:918
331.526251932114, 228.832167461711, 12:43:05:932
331.707541750824, 227.925841715718, 12:43:05:940
331.752020921951, 227.105558103529, 12:43:05:952
331.505472282873, 226.383177902918, 12:43:05:962
331.275381380778, 226.787840621681, 12:43:05:973
331.74088620528, 227.355279571758, 12:43:05:985
333.153888508937, 228.114338675564, 12:43:05:996
333.686979518673, 228.548532393707, 12:43:06:007
333.614224453376, 231.503348329822, 12:43:06:018
333.668946536486, 232.168162889875, 12:43:06:028
335.576685711573, 234.333306502459, 12:43:06:040
335.565140359367, 234.28358502846, 12:43:06:052
336.262098152279, 233.107807712145, 12:43:06:062
336.153312381373, 234.855428320197, 12:43:06:074
336.374592350229, 234.956157960543, 12:43:06:085
336.552091446685, 235.246463552564, 12:43:06:096
337.049899501388, 235.956724334895, 12:43:06:107
337.167511803124, 237.466592124957, 12:43:06:119
337.167993253345, 237.508051869647, 12:43:06:129
336.8090593962, 237.140931304614, 12:43:06:141
335.152153314956, 235.851443456015, 12:43:06:152
335.539550062477, 235.782362905898, 12:43:06:161
335.874889374714, 236.225875283135, 12:43:06:174
336.877127589042, 237.024536964584, 12:43:06:185
341.400604232854, 241.403023414754, 12:43:06:196
344.184569482786, 244.589566201177, 12:43:06:206
349.676083901102, 249.283038643372, 12:43:06:218
350.058629485382, 249.618381306698, 12:43:06:228
352.448537361352, 250.168223771299, 12:43:06:240
355.131568557371, 249.468492911139, 12:43:06:251
356.172798384641, 249.511341704794, 12:43:06:263
357.606397842562, 251.116391084707, 12:43:06:274
358.250235120184, 253.435258899537, 12:43:06:285
358.353426335349, 253.228545320395, 12:43:06:296
358.038931959324, 255.186642843423, 12:43:06:308
357.960573604963, 254.938723625178, 12:43:06:319
358.024875065332, 255.184089318617, 12:43:06:329
358.564334765886, 257.413923792747, 12:43:06:340
358.579879074318, 258.691164177119, 12:43:06:351
359.069394025621, 258.174607474386, 12:43:06:363
359.844433600444, 258.071638688202, 12:43:06:374
359.980830147222, 257.850255709814, 12:43:06:385
360.385234526767, 257.848218481082, 12:43:06:396
360.439443803289, 257.523865423838, 12:43:06:406
360.45467163621, 257.856895873382, 12:43:06:417
359.353845759153, 255.939280210987, 12:43:06:428
356.998609806843, 253.170814144106, 12:43:06:439
333.339324760577, 244.143885153992, 12:43:06:451
331.759526064454, 243.503958849325, 12:43:06:462
330.022150180314, 246.099312360631, 12:43:06:474
329.053248569798, 247.765549136167, 12:43:06:492
329.214760142522, 247.817763576457, 12:43:06:495
328.932957036166, 247.951934533881, 12:43:06:506
326.824800314834, 246.992184116431, 12:43:06:518
328.705109938791, 246.919302851576, 12:43:06:528
329.669727824078, 246.67939583857, 12:43:06:540
329.189426286025, 248.408213380721, 12:43:06:551
330.080399431953, 248.768126143941, 12:43:06:563
329.189700316981, 249.225713957826, 12:43:06:573
329.216181986718, 249.563367604139, 12:43:06:585
329.011548253003, 252.67331981052, 12:43:06:596
328.80725088636, 253.436042727902, 12:43:06:607
328.80864477075, 253.317807025608, 12:43:06:617
327.900737921788, 251.322284066455, 12:43:06:629
328.586658584376, 251.007669334555, 12:43:06:639
328.364334120978, 251.2258413264, 12:43:06:651
329.058382218222, 251.637611262523, 12:43:06:661
329.118937612161, 251.765281032591, 12:43:06:672
329.30811840144, 252.097949860588, 12:43:06:685
329.587539782529, 252.049780700645, 12:43:06:695
331.268459214617, 252.261185377043, 12:43:06:707
331.117816930754, 252.227548554207, 12:43:06:718
331.969267323826, 252.530277083281, 12:43:06:729
332.677998704213, 252.808847253911, 12:43:06:740
333.016736380909, 252.001800939587, 12:43:06:752
334.737881741779, 249.797822394425, 12:43:06:762
339.96546437963, 249.640820789328, 12:43:06:773
354.241072486241, 256.22616484522, 12:43:06:784
356.289733255102, 257.027791599223, 12:43:06:796
356.038128169458, 256.826565113715, 12:43:06:807
359.685464560054, 256.583624272056, 12:43:06:818
360.814848394646, 256.341011923112, 12:43:06:829
363.755143864063, 257.076813649959, 12:43:06:840
364.618205202502, 258.759219602257, 12:43:06:852
364.879082457075, 259.276200573124, 12:43:06:861
364.491086996964, 259.506752371725, 12:43:06:873
363.763735451703, 258.912100971621, 12:43:06:884
363.993245435815, 259.497400988656, 12:43:06:894
363.891959817056, 259.257780718898, 12:43:06:907
364.05713823026, 258.541536048052, 12:43:06:918
364.018417638254, 258.207643942659, 12:43:06:929
365.15733168773, 257.590744236062, 12:43:06:940
364.850786761079, 257.4037551054, 12:43:06:952
364.27444243057, 257.487957334276, 12:43:06:962
362.133364193288, 258.343488477333, 12:43:06:974
359.692608967068, 259.966607088715, 12:43:06:985
358.135772874053, 260.684505978489, 12:43:06:995
356.807314403391, 261.302413520204, 12:43:07:006
354.812794977774, 262.950420447256, 12:43:07:018
354.498485337147, 263.299021490095, 12:43:07:029
353.683409070879, 263.879053500548, 12:43:07:041
353.904231030608, 263.719201793238, 12:43:07:052
354.034510655741, 265.588506595908, 12:43:07:062
354.387414518082, 265.932316898678, 12:43:07:074
354.46432059692, 266.183988492588, 12:43:07:083
354.756886777856, 267.071216427538, 12:43:07:095
356.563138332045, 269.217967899976, 12:43:07:105
357.854610686927, 269.890693743731, 12:43:07:115
353.790947843092, 265.933057344574, 12:43:07:126
799.81099398578, 537.452279912568, 12:43:07:216
799.81099398578, 537.452279912568, 12:43:07:228
694.341838364216, 564.69525745708, 12:43:07:239
505.37777032843, 613.50510932348, 12:43:07:250
476.33141719928, 586.67777251106, 12:43:07:261
421.19279083259, 440.655645805028, 12:43:07:273
387.551001697859, 344.269333046607, 12:43:07:282
390.097884614701, 339.577312568678, 12:43:07:298
394.026658737415, 330.631684356524, 12:43:07:306
393.985100167814, 312.55509423543, 12:43:07:316
383.212709311783, 298.299170776976, 12:43:07:327
382.619038648172, 281.659615500841, 12:43:07:339
382.845488548242, 276.799370406859, 12:43:07:350
379.569500503971, 290.090506528562, 12:43:07:361
382.58137118624, 274.075451338762, 12:43:07:372
381.22312976512, 275.89167821937, 12:43:07:384
377.509961593233, 264.915233803552, 12:43:07:395
376.641853885701, 263.438264003016, 12:43:07:406
375.554962841719, 262.154525019948, 12:43:07:417
374.184761927217, 260.826125892063, 12:43:07:427
373.656439950971, 259.08679468123, 12:43:07:438
373.529633327857, 256.62312945789, 12:43:07:450
372.852863453768, 253.657940812073, 12:43:07:462
372.980513385698, 251.702422903276, 12:43:07:473
374.50447338708, 248.552514458467, 12:43:07:484
377.334110315224, 247.440575637198, 12:43:07:495
379.640838302583, 247.20498131294, 12:43:07:507
382.081236130629, 246.970560588601, 12:43:07:516
381.086923436342, 246.902695121292, 12:43:07:527
383.867999494755, 252.11778484871, 12:43:07:538
386.528260346408, 255.619995224937, 12:43:07:551
389.212973674778, 258.962943707035, 12:43:07:561
389.820411539812, 260.489407959284, 12:43:07:573
391.358300850665, 263.983179256432, 12:43:07:585
391.533263621098, 264.760890540852, 12:43:07:594
392.03548045197, 266.943426900179, 12:43:07:606
391.951388710268, 269.999292832957, 12:43:07:618
392.269155365843, 271.545200595882, 12:43:07:628
392.129573267009, 271.377794209986, 12:43:07:640
392.498986397153, 271.614190406476, 12:43:07:650
393.632016305023, 273.278366385995, 12:43:07:662
394.247975024251, 273.952733856668, 12:43:07:672
397.155695642765, 274.56073367256, 12:43:07:685
398.137075138255, 273.357692723362, 12:43:07:695
397.998157006922, 271.982883120134, 12:43:07:706
396.80618509831, 273.121819228781, 12:43:07:718
396.902672681642, 272.886078243333, 12:43:07:728
375.817412075427, 278.078559321592, 12:43:07:739
371.092718483921, 279.359959531984, 12:43:07:750
366.120678084506, 280.073595055282, 12:43:07:761
365.145435517949, 280.21784507394, 12:43:07:772
362.969625016372, 281.039955020269, 12:43:07:784
360.803121001432, 282.019051304745, 12:43:07:795
357.404020162897, 280.831834940983, 12:43:07:806
356.254029639008, 277.39897803816, 12:43:07:817
357.839195650515, 280.605756651544, 12:43:07:828
357.403289380959, 278.717878434739, 12:43:07:839
357.717420513471, 276.600770568277, 12:43:07:849
357.720861267047, 276.107559119873, 12:43:07:861
356.722103973306, 274.931905221973, 12:43:07:873
356.774293129568, 274.28150994518, 12:43:07:884
356.603743804393, 273.887800666614, 12:43:07:895
355.566522769003, 273.197506453525, 12:43:07:906
355.53523890187, 273.205102219068, 12:43:07:916
354.561554308987, 272.145591450909, 12:43:07:928
351.648932847872, 267.078633032675, 12:43:07:941
351.946916184497, 267.587881963221, 12:43:07:949
353.261804828946, 267.615846304682, 12:43:07:960
356.786851457338, 267.188200076353, 12:43:07:972
356.290327746572, 266.827374410171, 12:43:07:984
356.881338695001, 265.952047472827, 12:43:07:995
356.842271990147, 265.554087688338, 12:43:08:007
