x,y,tempo
374.569872045727, 282.886050055526, 12:43:52:047
360.163312263492, 282.859305953088, 12:43:52:058
339.249657515466, 282.489203103336, 12:43:52:068
335.360337816692, 280.871319915202, 12:43:52:079
334.286379735884, 279.01765439705, 12:43:52:090
331.970635933169, 274.630024040281, 12:43:52:101
329.895530334161, 271.491085455314, 12:43:52:112
327.841699019909, 268.352364606163, 12:43:52:125
326.227071426776, 265.951519873318, 12:43:52:136
325.040428994445, 262.701916526277, 12:43:52:148
323.954254827649, 260.453568497517, 12:43:52:158
322.620654492141, 257.627479666729, 12:43:52:169
319.096232159455, 252.407700205146, 12:43:52:180
317.735706721217, 250.831278328117, 12:43:52:190
315.620879211353, 248.323735330025, 12:43:52:202
316.131293968087, 248.644007306871, 12:43:52:213
315.645803112536, 248.181165336304, 12:43:52:224
313.35987850342, 246.078442068551, 12:43:52:235
311.200023145197, 244.764354150432, 12:43:52:247
310.05217347807, 244.083385194237, 12:43:52:258
309.692138705686, 243.843331742467, 12:43:52:269
309.065552322116, 243.854207876158, 12:43:52:280
308.300798894062, 245.332098803354, 12:43:52:289
403.246517967466, 239.560817425492, 12:43:52:433
339.596578508539, 423.665335320574, 12:43:52:446
344.820453807435, 412.298135551238, 12:43:52:457
385.301760952986, 300.441430471239, 12:43:52:468
412.439982315671, 225.093229278067, 12:43:52:480
410.743401355742, 222.215804949017, 12:43:52:493
402.973440699644, 230.884856682337, 12:43:52:501
397.293534694864, 235.734133838945, 12:43:52:512
394.865631665902, 234.579999489893, 12:43:52:524
393.206850398325, 232.186362691744, 12:43:52:534
385.165721363891, 235.221635165268, 12:43:52:547
387.103472850711, 210.75564270525, 12:43:52:558
387.976706198373, 207.559266109574, 12:43:52:570
391.347189405279, 210.799385826863, 12:43:52:580
389.55680467579, 211.6917950238, 12:43:52:591
393.680913685782, 213.192239676881, 12:43:52:603
396.584384481492, 210.524169002473, 12:43:52:613
404.677081259019, 209.719161465578, 12:43:52:625
434.36926165077, 208.318532477609, 12:43:52:635
437.044890125733, 208.266567117478, 12:43:52:647
442.03267502629, 208.864994665381, 12:43:52:658
451.518161859177, 210.882323072749, 12:43:52:669
459.767473029425, 211.887148645458, 12:43:52:680
461.652861843225, 211.208095886949, 12:43:52:692
468.96377294995, 213.380483629523, 12:43:52:702
466.878209804694, 212.956236087144, 12:43:52:713
465.402437816873, 213.193919594446, 12:43:52:724
465.368505840362, 212.241785028841, 12:43:52:735
466.340987015907, 209.513043521568, 12:43:52:745
465.84724217882, 204.927502827146, 12:43:52:758
466.090414329696, 203.692908550046, 12:43:52:768
466.345850477096, 203.936070050135, 12:43:52:780
468.265403601326, 205.444173921274, 12:43:52:792
469.895875449207, 206.407603720446, 12:43:52:803
476.728574097831, 208.974442184357, 12:43:52:813
485.915505659513, 211.264206213284, 12:43:52:825
490.973187406349, 212.246969813535, 12:43:52:835
492.346818138989, 212.339045824855, 12:43:52:846
493.556962374887, 211.694234768096, 12:43:52:857
493.660515373354, 211.030683901134, 12:43:52:868
494.347258877017, 208.83073481768, 12:43:52:881
494.849841280073, 203.256732272295, 12:43:52:892
494.876680745426, 204.24771332165, 12:43:52:902
493.950468681958, 201.319851287506, 12:43:52:912
493.955778299598, 201.333333067941, 12:43:52:925
494.036399552862, 201.384116848459, 12:43:52:934
495.754165839446, 202.755565881409, 12:43:52:945
495.631438949183, 201.45212022502, 12:43:52:956
495.94973181907, 201.461713787383, 12:43:52:968
496.685695713592, 201.951451402153, 12:43:52:978
496.103995408474, 201.266355943471, 12:43:52:991
493.457767375178, 203.255588320221, 12:43:53:002
485.776175729587, 207.096509404291, 12:43:53:012
425.125426747195, 223.968088955938, 12:43:53:024
425.154975534904, 223.810971242675, 12:43:53:034
422.534923560206, 224.236470484401, 12:43:53:047
415.236504253506, 225.914673113582, 12:43:53:058
413.903648336806, 226.16442114575, 12:43:53:067
413.1588334618, 226.209074053192, 12:43:53:080
398.571017179281, 229.770639925276, 12:43:53:091
398.334576360217, 228.47455500241, 12:43:53:102
398.177082201857, 228.221784559597, 12:43:53:112
398.162373521288, 228.177801198822, 12:43:53:125
398.155399924667, 227.141171151938, 12:43:53:135
396.076594757593, 219.539668573626, 12:43:53:145
395.931889848433, 219.337014587279, 12:43:53:157
393.615041877538, 219.635947344788, 12:43:53:166
393.936322630687, 220.633843433661, 12:43:53:179
394.454902942147, 221.500807432232, 12:43:53:190
394.600800180997, 221.558971445319, 12:43:53:201
394.56584709373, 223.891102405036, 12:43:53:213
393.999868902973, 229.157360292666, 12:43:53:224
394.288708829351, 228.465510539296, 12:43:53:234
395.451273328029, 279.479488882733, 12:43:53:246
395.838026538872, 288.667939901589, 12:43:53:258
396.519703314802, 296.895406867281, 12:43:53:268
397.068478177398, 301.562253831871, 12:43:53:279
397.477555229836, 310.094383112359, 12:43:53:291
398.011437989084, 316.2642626924, 12:43:53:302
399.133234135578, 331.933881620229, 12:43:53:313
